max_log_abs_mdot_donor,max_rel_RL,max_rel_RL_time,result,CE_flag,M_1f(Msun),M_2f(Msun),m1_f,Porb_f(d),tmerge(Gyr),e_post,a_post,a_pre,log_L_1,log_T_1,He_core_1(Msun),C_core_1(Msun),O_core_1(Msun)log_L_2,log_T_2,He_core_2(Msun),C_core_2(Msun),max_log_mdot_donor,surface_h1,surface_he4,m1,m2,initial_period_in_days,O_core_1(Msun)
-7.391151992310009,0.36033252875468036,1128.5495789389986,ZAMS_RLOF,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.0000,21.0000,0.7900,
-2.894004623323799,0.134273241991723,10143127.967163177,error,0,8.947253040549995,34.52179260058391,1.4,12.832775400151379,-,-,-,81.08251504245399,-,-,5.575176572277604,0.0,-,-,-,-,-,-,-,20.0000,31.0000,2.5100,0.0
-3.427626137333829,-0.010493912376868432,9657810.396451162,wide_binary,0,9.756335187970093,21.523367285056516,1.4,5941.062036205764,285101903628.8428,0.3645334947548255,6842.650827609517,4348.27540803402,5.410939363598506,3.737421070007239,8.429698067482155,4.946667412105799,-,-,-,-,-,0.3930103672941784,0.593183063453914,20.0000,21.0000,2511.8900,8.256787356961492
-2.745644593627281,0.11577887591966615,9708675.565101555,error,0,8.647854635334234,9.176988906941455,1.4,7.270247757579348,-,-,-,41.24406825524854,-,-,6.485228857593087,0.0,-,-,-,-,-,-,-,20.0000,9.0000,7.9400,0.0
-2.364180794845995,0.03496437005080311,9651997.99511488,wide_binary,0,8.923942112516825,13.100888030917087,1.4,1510.7739903008437,20020302146.094803,0.5188607826275988,3227.1553988820574,1552.7110229572322,5.4105559639540415,3.9151624797940867,8.405342989536196,5.0182095593388185,-,-,-,-,-,0.3548739179315626,0.631360018399151,20.0000,13.0000,794.3300,8.144790154505769
-2.549504209731901,0.1437228040990293,9652005.97324226,error,0,11.04424545978628,23.026545948251403,1.4,716.6597443378571,-,-,-,1092.252032143278,-,-,7.071057649400924,0.0,-,-,-,-,-,-,-,20.0000,23.0000,251.1900,0.0
-3.176738542711791,-0.0061876470958103285,9656565.1106373,wide_binary,0,9.338778890745832,19.382665831380358,1.4,5965.77973276146,333741793463.24384,0.3819904027306661,6857.594452233846,4238.059185661458,5.418049081427589,3.7940384184039444,8.505355948590587,5.040678457126343,-,-,-,-,-,0.39186691310507593,0.5943436708309804,20.0000,19.0000,2511.8900,8.338822457685302
-2.470955652562762,0.15023558598683018,9651728.417356458,wide_binary,0,8.947569693836419,19.165296366925162,1.4,778.1630201964925,1380849992.924518,0.3670051507730785,1709.7608614887552,1082.269818732166,5.405017683974623,3.851122149723736,8.320987669692025,4.971207622526331,-,-,-,-,-,0.3711854385331462,0.6150286492310306,20.0000,19.0000,251.1900,8.114715328983193
-2.460783750630189,0.010380271743550277,9652493.68365752,wide_binary,0,9.29169537995753,21.295031171446468,1.4,3906.374413705362,87370294916.18988,0.3477278934027811,5003.242483798073,3263.4755147236715,5.412631432191969,3.793962683506654,8.452613720022935,5.014124305194149,-,-,-,-,-,0.3799460036315076,0.6062698479758396,20.0000,21.0000,1412.5400,8.190930817295381
-2.43244500726132,0.22572594121902617,9651150.972491493,wide_binary,0,8.521030525104536,27.23677665631204,1.4,596.3250860166551,318472562.2482586,0.2486673207172892,1306.9736970138883,981.9720495294747,5.4073834538614465,4.192511123689743,8.289950506166521,5.005953796908629,-,-,-,-,-,0.3297745285627383,0.6565055884636668,20.0000,27.0000,141.2500,8.122486005177976
